the removed version is wrong here, it should be not removed

-[ RECORD 2 ]-------------------------------------------+----------------------------------------------------------
project_name                                            | apache-jmeter
version_name                                            | v2_10
version_hash                                            | 05e19dd900305b43296a89a8fbbd4669b987546b
file_name                                               | GenericTestBeanCustomizer.java
class_id                                                | 1939
class_name                                              | org.apache.jmeter.testbeans.gui.GenericTestBeanCustomizer
class_access                                            | public
is_class_abstract                                       | false
is_class_enum                                           | false
is_class_interface                                      | false
class_start_line                                        | 48
class_end_line                                          | 784
processed_comment_id                                    | 11240
comment_location                                        | FIELD
comment_type                                            | LINE
function_signature                                      | scrollerCount
comment_start_line                                      | 154
comment_end_line                                        | 154
comment_classification                                  | DESIGN
comment_text                                            | // TODO - use or remove
version_introduced_name                                 | v2_10
version_introduced_hash                                 | 05e19dd900305b43296a89a8fbbd4669b987546b
version_introduced_dependencies_number                  |
version_removed_name                                    | v2_10
version_removed_hash                                    | 05e19dd900305b43296a89a8fbbd4669b987546b
last_version_that_comment_was_found_name                | v2_10_RC2
last_version_that_comment_was_found_hash                | 67756c23fa43e789a57306bbf26b78f403717db8
last_version_that_comment_was_found_dependencies_number |
version_introduced_commit_hash                          | f31a9f8f
version_introduced_author                               | Sebastian Bazley
version_introduced_lines                                | 154
version_removed_commit_hash                             | f31a9f8f
version_removed_author                                  | Sebastian Bazley
version_removed_lines                                   | 154
last_version_that_comment_was_found_commit_hash         |
last_version_that_comment_was_found_author              |
last_version_that_comment_was_found_lines               | 154
